entity_id,state,last_changed
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T00:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T01:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T02:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T03:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T04:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T05:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T06:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,85.2,2025-01-15T07:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,420.6,2025-01-15T08:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,890.3,2025-01-15T09:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,1450.8,2025-01-15T10:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,1820.5,2025-01-15T11:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,1950.1,2025-01-15T12:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,1780.4,2025-01-15T13:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,1380.7,2025-01-15T14:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,850.2,2025-01-15T15:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,320.9,2025-01-15T16:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,45.3,2025-01-15T17:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T18:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T19:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T20:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T21:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T22:00:00.000Z
sensor.hoymiles_gateway_solarh_3054300_real_power,0,2025-01-15T23:00:00.000Z
