timestamp,temperature_2m,cloud_cover,direct_radiation,diffuse_radiation,sunshine_duration,wind_speed_10m,precipitation,relative_humidity_2m
2026-01-01 00:00:00+00:00,0.4,100,0.0,0.0,0.0,10.2,0.0,91
2026-01-01 01:00:00+00:00,0.5,100,0.0,0.0,0.0,9.7,0.0,90
2026-01-01 02:00:00+00:00,0.3,100,0.0,0.0,0.0,11.7,0.0,94
2026-01-01 03:00:00+00:00,0.3,100,0.0,0.0,0.0,10.9,0.0,97
2026-01-01 04:00:00+00:00,0.4,100,0.0,0.0,0.0,11.5,0.1,99
2026-01-01 05:00:00+00:00,0.8,100,0.0,0.0,0.0,15.3,0.5,99
2026-01-01 06:00:00+00:00,1.0,100,0.0,0.0,0.0,17.5,0.4,98
2026-01-01 07:00:00+00:00,1.5,100,0.0,0.0,0.0,20.5,0.1,97
2026-01-01 08:00:00+00:00,1.6,100,0.0,4.0,0.0,21.9,0.1,95
2026-01-01 09:00:00+00:00,1.5,100,0.0,16.0,0.0,22.0,0.0,95
2026-01-01 10:00:00+00:00,1.2,100,0.0,26.0,0.0,21.3,0.1,93
2026-01-01 11:00:00+00:00,1.1,100,0.0,34.0,0.0,21.8,0.0,91
2026-01-01 12:00:00+00:00,1.0,100,0.0,36.0,0.0,22.3,0.0,90
2026-01-01 13:00:00+00:00,1.1,100,0.0,27.0,0.0,21.8,0.0,81
2026-01-01 14:00:00+00:00,1.4,100,0.0,16.0,0.0,23.3,0.0,75
2026-01-01 15:00:00+00:00,1.1,100,0.0,3.0,0.0,22.3,0.1,75
2026-01-01 16:00:00+00:00,0.9,100,0.0,0.0,0.0,23.2,0.2,80
2026-01-01 17:00:00+00:00,1.0,100,0.0,0.0,0.0,24.6,0.2,82
2026-01-01 18:00:00+00:00,1.5,100,0.0,0.0,0.0,22.4,0.0,80
2026-01-01 19:00:00+00:00,1.8,100,0.0,0.0,0.0,24.1,0.4,78
2026-01-01 20:00:00+00:00,1.8,98,0.0,0.0,0.0,27.2,0.0,77
2026-01-01 21:00:00+00:00,1.4,100,0.0,0.0,0.0,23.3,0.0,80
2026-01-01 22:00:00+00:00,1.4,100,0.0,0.0,0.0,22.6,0.0,83
2026-01-01 23:00:00+00:00,1.8,90,0.0,0.0,0.0,20.4,0.0,80
2026-01-02 00:00:00+00:00,1.5,100,0.0,0.0,0.0,23.2,0.0,81
2026-01-02 01:00:00+00:00,1.2,99,0.0,0.0,0.0,23.4,0.3,83
2026-01-02 02:00:00+00:00,0.9,100,0.0,0.0,0.0,21.4,0.9,83
2026-01-02 03:00:00+00:00,1.0,100,0.0,0.0,0.0,23.0,0.0,82
2026-01-02 04:00:00+00:00,1.3,100,0.0,0.0,0.0,21.4,0.0,82
2026-01-02 05:00:00+00:00,1.4,19,0.0,0.0,0.0,22.3,0.0,79
2026-01-02 06:00:00+00:00,1.4,93,0.0,0.0,0.0,21.9,0.0,72
2026-01-02 07:00:00+00:00,1.0,27,0.0,0.0,0.0,23.3,0.0,73
2026-01-02 08:00:00+00:00,1.0,88,13.0,12.0,604.61,23.8,0.0,77
2026-01-02 09:00:00+00:00,1.8,84,36.0,55.0,3600.0,25.9,0.0,73
2026-01-02 10:00:00+00:00,2.2,99,97.0,71.0,3600.0,25.7,0.0,73
2026-01-02 11:00:00+00:00,2.4,100,95.0,91.0,3600.0,27.0,0.0,71
2026-01-02 12:00:00+00:00,1.8,100,6.0,93.0,0.0,23.1,0.1,79
2026-01-02 13:00:00+00:00,1.5,100,0.0,43.0,0.0,23.5,0.3,80
2026-01-02 14:00:00+00:00,1.0,100,0.0,16.0,0.0,20.6,0.2,85
2026-01-02 15:00:00+00:00,0.9,100,0.0,4.0,0.0,19.9,0.1,85
2026-01-02 16:00:00+00:00,0.6,100,0.0,0.0,0.0,19.9,0.4,87
2026-01-02 17:00:00+00:00,0.6,100,0.0,0.0,0.0,19.2,0.6,86
2026-01-02 18:00:00+00:00,0.7,98,0.0,0.0,0.0,20.8,0.1,86
2026-01-02 19:00:00+00:00,0.2,98,0.0,0.0,0.0,19.5,0.0,83
2026-01-02 20:00:00+00:00,0.2,99,0.0,0.0,0.0,20.3,0.0,77
2026-01-02 21:00:00+00:00,-0.3,91,0.0,0.0,0.0,19.3,0.0,78
2026-01-02 22:00:00+00:00,-0.4,82,0.0,0.0,0.0,18.6,0.1,76
2026-01-02 23:00:00+00:00,-0.4,53,0.0,0.0,0.0,18.8,0.0,75
2026-01-03 00:00:00+00:00,0.1,100,0.0,0.0,0.0,17.8,0.1,82
2026-01-03 01:00:00+00:00,-0.6,100,0.0,0.0,0.0,18.4,1.5,80
2026-01-03 02:00:00+00:00,-0.5,36,0.0,0.0,0.0,19.1,0.6,85
2026-01-03 03:00:00+00:00,-1.1,52,0.0,0.0,0.0,21.8,0.0,80
2026-01-03 04:00:00+00:00,-2.0,93,0.0,0.0,0.0,22.0,0.0,79
2026-01-03 05:00:00+00:00,-1.9,100,0.0,0.0,0.0,21.9,0.0,78
2026-01-03 06:00:00+00:00,-1.6,5,0.0,0.0,0.0,22.1,0.0,76
2026-01-03 07:00:00+00:00,-2.4,1,0.0,0.0,0.0,21.9,0.0,74
2026-01-03 08:00:00+00:00,-2.5,47,15.0,12.0,773.05,20.3,0.0,76
2026-01-03 09:00:00+00:00,-1.8,39,57.0,47.0,3600.0,17.6,0.0,79
2026-01-03 10:00:00+00:00,-1.4,75,131.0,60.0,3600.0,16.7,0.0,76
2026-01-03 11:00:00+00:00,-0.2,90,32.0,117.0,2042.18,14.1,0.0,78
2026-01-03 12:00:00+00:00,1.1,100,32.0,111.0,2070.97,21.0,0.0,76
2026-01-03 13:00:00+00:00,0.9,100,9.0,85.0,0.0,19.2,0.1,78
2026-01-03 14:00:00+00:00,0.5,100,0.0,38.0,0.0,24.4,0.3,78
2026-01-03 15:00:00+00:00,-0.8,100,0.0,5.0,0.0,15.9,1.8,85
2026-01-03 16:00:00+00:00,0.1,100,0.0,0.0,0.0,21.7,0.6,80
2026-01-03 17:00:00+00:00,-0.4,100,0.0,0.0,0.0,23.4,0.1,80
2026-01-03 18:00:00+00:00,-0.7,99,0.0,0.0,0.0,20.9,0.1,80
2026-01-03 19:00:00+00:00,-0.9,99,0.0,0.0,0.0,20.0,0.1,82
2026-01-03 20:00:00+00:00,-1.2,100,0.0,0.0,0.0,20.4,0.0,83
2026-01-03 21:00:00+00:00,-1.8,99,0.0,0.0,0.0,19.6,0.1,82
2026-01-03 22:00:00+00:00,-1.6,100,0.0,0.0,0.0,18.2,0.0,77
2026-01-03 23:00:00+00:00,-1.6,100,0.0,0.0,0.0,18.4,0.1,79
2026-01-04 00:00:00+00:00,-1.2,84,0.0,0.0,0.0,16.2,0.0,81
2026-01-04 01:00:00+00:00,-1.5,98,0.0,0.0,0.0,22.2,0.7,79
2026-01-04 02:00:00+00:00,-1.3,27,0.0,0.0,0.0,24.0,0.0,80
2026-01-04 03:00:00+00:00,-1.9,20,0.0,0.0,0.0,23.6,0.0,81
2026-01-04 04:00:00+00:00,-2.2,69,0.0,0.0,0.0,27.6,0.1,81
2026-01-04 05:00:00+00:00,-2.7,61,0.0,0.0,0.0,25.5,0.0,79
2026-01-04 06:00:00+00:00,-2.9,25,0.0,0.0,0.0,25.4,0.0,77
2026-01-04 07:00:00+00:00,-3.7,100,0.0,0.0,0.0,21.7,0.0,80
2026-01-04 08:00:00+00:00,-3.8,75,5.0,18.0,0.0,19.8,0.0,80
2026-01-04 09:00:00+00:00,-4.0,16,49.0,57.0,3600.0,18.7,0.0,82
2026-01-04 10:00:00+00:00,-3.7,0,139.0,58.0,3600.0,17.8,0.0,83
2026-01-04 11:00:00+00:00,-3.2,1,176.0,63.0,3600.0,18.4,0.0,82
2026-01-04 12:00:00+00:00,-2.5,5,173.0,64.0,3600.0,17.9,0.0,82
